阿	tzk· 阝可 ·a
啊	dtzk· 口阝可 ·a
吖	dhgs· 口丷丨 ·a
嗄	dfoh· 口一自夊 ·a
呵	dzk· 口可 ·a
锕	ztzk· 钅阝可 ·a
腌	vmoa· 月大日乚 ·a
錒	ztzk· 金阝可 ·a
爱	ywnr· 爫冖𠂇又 ·ai
哎	dlbi· 口艹乂 ·ai
唉	dkos· 口厶矢 ·ai
矮	oxbn· 矢禾女 ·ai
挨	ukos· 扌厶矢 ·ai
埃	gkos· 土厶矢 ·ai
艾	lbi· 艹乂 ·ai
癌	addv· 疒口口口山 ·ai
哀	tdk· 衣口 ·ai
碍	mofk· 石日一寸 ·ai
隘	tkam· 阝皿 ·ai
嗳	dywr· 口爫冖𠂇又 ·ai
捱	uxgg· 扌厂土土 ·ai
霭	tsof· ⻗讠曰勹亾 ·ai
蔼	lsof· 艹讠曰勹亾 ·ai
暧	oywr· 日爫冖𠂇又 ·ai
瑷	nywr· 王爫冖𠂇又 ·ai
皑	uvvj· 白山己 ·ai
嫒	bywr· 女爫冖𠂇又 ·ai
嗌	dkam· 口皿 ·ai
砹	mlbi· 石艹乂 ·ai
锿	ztdk· 钅衣口 ·ai
乂	bi· 乂 ·ai
欸	koeq· 厶矢欠 ·ai
毐	gku· 士毋 ·ai
薆	lywh· 艹爫冖心夂 ·ai
藹	lsof· 艹言曰勹亾 ·ai
絠	invy· 糹𠂇⺝ ·ai
礙	mvot· 石匕矢龴疋 ·ai
磑	mvzd· 石山豆 ·ai
硙	mvvj· 石山己 ·ai
硋	mkh· 石亥 ·ai
譪	slof· 言艹曰勹亾 ·ai
譺	svot· 言匕矢龴疋 ·ai
瞹	qywh· 目爫冖心夂 ·ai
皧	uywh· 白爫冖心夂 ·ai
皚	uvzd· 白山豆 ·ai
賹	okam· 貝皿 ·ai
璦	nywh· 王爫冖心夂 ·ai
焥	cwlz· 火宀夕⺋ ·ai
躷	zxbn· 身禾女 ·ai
濭	klga· 氵艹土厶皿 ·ai
溾	kag· 氵鬼 ·ai
溰	kvzd· 氵山豆 ·ai
醷	yxhx· 酉音心 ·ai
曖	oywh· 日爫冖心夂 ·ai
昹	oiks· 日丶 ·ai
敳	vzhp· 山豆攵 ·ai
敱	vzhp· 山豆攴 ·ai
鎄	ztdk· 金衣口 ·ai
鑀	zywh· 金爫冖心夂 ·ai
閡	akh· 門亥 ·ai
懝	hvot· 忄匕矢龴疋 ·ai
懓	hywh· 忄爫冖心夂 ·ai
愛	ywhh· 爫冖心夂 ·ai
阨	txzj· 阝厂⺋ ·ai
阸	tmai· 阝户乙 ·ai
隑	tvzd· 阝山豆 ·ai
靄	tsof· ⻗言曰勹亾 ·ai
靉	tbyh· ⻗云爫冖心夂 ·ai
嵦	vvzd· 山山豆 ·ai
嬡	bywh· 女爫冖心夂 ·ai
餲	qonf· 飠曰勹亾 ·ai
娾	bxgg· 女厂土土 ·ai
娭	bkos· 女厶矢 ·ai
馤	xoof· 禾日曰勹亾 ·ai
壒	glga· 土艹土厶皿 ·ai
騃	nkos· 馬厶矢 ·ai
塧	gkam· 土皿 ·ai
堨	gonf· 土曰勹亾 ·ai
噯	dywh· 口爫冖心夂 ·ai
嘊	dvxg· 口山厂土土 ·ai
啀	dxgg· 口厂土土 ·ai
呝	dmai· 口户乙 ·ai
叆	bywr· 云爫冖𠂇又 ·ai
鴱	lbxn· 艹乂鳥 ·ai
凒	wvzd· 冫山豆 ·ai
僾	jywh· 亻爫冖心夂 ·ai
伌	jxzj· 亻厂⺋ ·ai
按	uwbn· 扌宀女 ·an
安	wbn· 宀女 ·an
俺	jmoa· 亻大日乚 ·an
暗	oxy· 日音 ·an
案	wbem· 宀女木 ·an
岸	vxeg· 山厂干 ·an
庵	xmoa· 广大日乚 ·an
厂	xc· 厂 ·an
氨	vwbn· 气宀女 ·an
胺	vwbn· 月宀女 ·an
谙	sxy· 讠音 ·an
铵	zwbn· 钅宀女 ·an
鞍	twbn· 革宀女 ·an
黯	pxy· 音 ·an
桉	ewbn· 木宀女 ·an
埯	gmoa· 土大日乚 ·an
广	xg· 广 ·an
鹌	moax· 大日乚鸟 ·an
犴	meg· 犭干 ·an
揞	uxy· 扌音 ·an
盦	jaya· 亽酉皿 ·an
蓭	lxma· 艹广大日乚 ·an
葊	ljdl· 艹亼口廾 ·an
萻	lxy· 艹音 ·an
菴	lmoa· 艹大日乚 ·an
荌	lwbn· 艹宀女 ·an
腤	vxy· 月音 ·an
裺	tmoa· 衤大日乚 ·an
罯	yxy· 罒音 ·an
誝	sjad· 言亽口 ·an
諳	sxy· 言音 ·an
碪	mzha· 石㇗ ·an
盫	jdya· 亼口酉皿 ·an
豻	meg· 豸干 ·an
貋	moeg· 豸日干 ·an
痷	amoa· 疒大日乚 ·an
玵	nzg· 王甘 ·an
洝	kwbn· 氵宀女 ·an
銨	zwbn· 金宀女 ·an
晻	omoa· 日大日乚 ·an
錌	zvxe· 金山厂干 ·an
闇	axy· 門音 ·an
隌	txy· 阝音 ·an
雸	tzg· ⻗甘 ·an
廣	xnh· 广黄 ·an
鞌	wbtg· 宀女革 ·an
韽	jayx· 亽酉音 ·an
頇	ewy· 干頁 ·an
頞	wbwy· 宀女頁 ·an
峖	vwbn· 山宀女 ·an
屽	veg· 山干 ·an
媕	bjdl· 女亼口廾 ·an
婩	bvxe· 女山厂干 ·an
馣	xoma· 禾日大日乚 ·an
堓	gvxe· 土山厂干 ·an
垾	goeg· 土日干 ·an
垵	gwbn· 土宀女 ·an
啽	djdl· 口亼口廾 ·an
唵	dmoa· 口大日乚 ·an
鮟	wwbn· 魚宀女 ·an
咹	dwbn· 口宀女 ·an
厈	xeg· 厂干 ·an
鵪	moax· 大日乚鳥 ·an
鶕	xxn· 音鳥 ·an
儑	joic· 亻日幺幺灬 ·an
侒	jwbn· 亻宀女 ·an
昂	obzj· 日卩 ·ang
盎	mmam· 大皿 ·ang
肮	vzoj· 月亠几 ·ang
醃	ymoa· 酉大日乚 ·ang
醠	ymma· 酉大皿 ·ang
枊	ebzj· 木卩 ·ang
岇	vbzj· 山卩 ·ang
骯	fzoj· 骨亠几 ·ang
卬	bzj· 卩 ·ang
奥	tmpm· 丿冂米大 ·ao
澳	ktmm· 氵丿冂米大 ·ao
熬	aphc· 龶攵灬 ·ao
敖	aphp· 龶攵 ·ao
傲	japh· 亻龶攵 ·ao
凹	mfi· 一 ·ao
鳌	aphw· 龶攵鱼 ·ao
坳	gisl· 土幺力 ·ao
袄	ttmd· 衤丿大 ·ao
翱	umnz· 白大十羽 ·ao
岙	tmvs· 丿大山 ·ao
鏊	aphz· 龶攵金 ·ao
螯	aphc· 龶攵虫 ·ao
嗷	daph· 口龶攵 ·ao
鏖	xzj· 鹿金 ·ao
聱	aphq· 龶攵耳 ·ao
遨	aphu· 龶攵辶 ·ao
媪	boam· 女日皿 ·ao
懊	htmm· 忄丿冂米大 ·ao
嚣	ddwd· 口口页口口 ·ao
骜	aphn· 龶攵马 ·ao
拗	uisl· 扌幺力 ·ao
獒	aphm· 龶攵犬 ·ao
廒	xaph· 广龶攵 ·ao
璈	naph· 王龶攵 ·ao
蔜	laph· 艹龶攵 ·ao
芺	ltmd· 艹丿大 ·ao
蝹	coam· 虫日皿 ·ao
翺	owwz· 自冫十羽 ·ao
翶	uwwz· 白冫十羽 ·ao
襖	ttmm· 衤丿冂米大 ·ao
磝	maph· 石龶攵 ·ao
謷	aphs· 龶攵言 ·ao
謸	saph· 言龶攵 ·ao
獓	maph· 犭龶攵 ·ao
爊	cxch· 火鹿灬 ·ao
熝	cxl· 火鹿 ·ao
軪	yisl· 車幺力 ·ao
滶	kaph· 氵龶攵 ·ao
梎	euvb· 木白匕 ·ao
柪	eisl· 木幺力 ·ao
擙	utmm· 扌丿冂丿米大 ·ao
摮	aphu· 龶攵手 ·ao
抝	uiae· 扌幺㇆ ·ao
镺	ptmd· 镸丿大 ·ao
扷	utmd· 扌丿大 ·ao
慠	haph· 忄龶攵 ·ao
隞	taph· 阝龶攵 ·ao
嶴	tmpv· 丿冂米大山 ·ao
嶅	aphv· 龶攵山 ·ao
岰	visl· 山幺力 ·ao
嫯	aphb· 龶攵女 ·ao
媼	brja· 女囗人皿 ·ao
奧	tmtm· 丿冂丿米大 ·ao
奡	fomp· 一自大 ·ao
墺	gtmm· 土丿冂米大 ·ao
驁	aphn· 龶攵馬 ·ao
垇	gmfi· 土一 ·ao
囂	ddwd· 口口頁口口 ·ao
嚻	ddwd· 口口頁口口 ·ao
嗸	aphd· 龶攵口 ·ao
鰲	aphw· 龶攵魚 ·ao
厫	xaph· 厂龶攵 ·ao
鴢	isxn· 幺力鳥 ·ao
鷔	aphx· 龶攵鳥 ·ao
鼇	aphd· 龶攵黽 ·ao
㑸	jczk· 亻古可 ·ai
㕌	xofk· 厂日一寸 ·ai
㗒	dtdk· 口衣口 ·ai
㗨	nord· 匸矢殳口 ·ai
㘷	glbi· 土艹乂 ·ai
㝵	ofkc· 日一寸 ·ai
㝶	ypkc· 罒儿寸 ·ai
㢊	xmzk· 广大可 ·ai
㤅	dhx· 旡心 ·ai
㱯	gvzd· 歹山豆 ·ai
㿄	anor· 疒匸矢殳 ·ai
䀳	qxs· 目束 ·ai
䅬	xkam· 禾皿 ·ai
䑂	vpfh· 月一ㄅ丨 ·ai
䔽	lkof· 艹氵曰勹亾 ·ai
䝽	oxgg· 貝厂土土 ·ai
䠹	zkh· 身亥 ·ai
䨠	tonf· ⻗曰勹亾 ·ai
䬵	qkh· 飠亥 ·ai
䶣	lvzd· 齒山豆 ·ai
㜝	bjay· 女亽酉 ·an
㟁	vxeg· 山厂干 ·an
㱘	xovs· 厂日月犬止 ·an
㸩	qeg· 牜干 ·an
㽢	qmoa· 田大日乚 ·an
䁆	qmoa· 目大日乚 ·an
䅁	wbxh· 宀女禾 ·an
䅖	xmoa· 禾大日乚 ·an
䎏	jadz· 亽口羽 ·an
䎨	amoa· 耒大日乚 ·an
䜙	soic· 言日幺幺灬 ·an
䬓	otcx· ⺇丿虫音 ·an
䮗	nvxe· 馬山厂干 ·an
䯥	foic· 骨日幺幺灬 ·an
㦹	ofnp· 日一勹戈 ·ang
㭿	eobz· 木日卩 ·ang
㼜	mmrw· 大瓦 ·ang
䀚	qbzj· 目卩 ·ang
䍩	ghp· ⺶攵 ·ang
䒢	lbzj· 艹卩 ·ang
䩕	tbzj· 革卩 ·ang
䬓	otcx· ⺇丿虫音 ·ang
䭹	nbzj· 馬卩 ·ang
䭺	nzoj· 馬亠几 ·ang
㑃	jisl· 亻幺力 ·ao
㕭	dtmd· 口丿大 ·ao
㘬	gnks· 土勹厶 ·ao
㘭	giae· 土幺㇆ ·ao
㜜	baph· 女龶攵 ·ao
㜩	btmm· 女丿冂米大 ·ao
㟼	vaph· 山龶攵 ·ao
㠂	vaph· 山龶攵 ·ao
㠗	vtmm· 山丿冂米大 ·ao
㤇	htmd· 忄丿大 ·ao
㥿	aphh· 龶攵心 ·ao
㿰	abrp· 六乂皮 ·ao
䁱	qggp· 目土土土一儿 ·ao
䐿	vtmm· 月丿冂米大 ·ao
䚫	ulht· 白方攵⺈用 ·ao
䜒	stmm· 言丿冂米大 ·ao
䞝	pnid· 走王丶 ·ao
䥝	zxvb· 金鹿匕 ·ao
䦋	paph· 镸龶攵 ·ao
䫨	aphw· 龶攵頁 ·ao
䮯	naph· 馬龶攵 ·ao
䯠	foam· 骨日皿 ·ao
䴈	tmpx· 丿冂米大鳥 ·ao
䵅	aphh· 龶攵木人人夂 ·ao
吧	dmb· 口巴 ·ba
把	umb· 扌巴 ·ba
爸	hbmb· 八乂巴 ·ba
八	hb· 八 ·ba
巴	mb· 巴 ·ba
坝	gob· 土贝 ·ba
拔	unri· 扌𠂇又丶 ·ba
罢	ygks· 罒土厶 ·ba
霸	ttvy· ⻗革月 ·ba
扒	uhb· 扌八 ·ba
叭	dhb· 口八 ·ba
靶	tmb· 革巴 ·ba
芭	lmb· 艹巴 ·ba
跋	pnri· ⻊𠂇又丶 ·ba
岜	vmb· 山巴 ·ba
疤	amb· 疒巴 ·ba
灞	kttv· 氵⻗革月 ·ba
笆	rmb· ⺮巴 ·ba
粑	pmb· 米巴 ·ba
捌	udsp· 扌口力刂 ·ba
耙	amb· 耒巴 ·ba
茇	lnri· 艹𠂇又丶 ·ba
鲅	wnri· 鱼𠂇又丶 ·ba
魃	anri· 鬼𠂇又丶 ·ba
菝	luni· 艹扌𠂇又丶 ·ba
钯	zmb· 钅巴 ·ba
鲃	wmb· 鱼巴 ·ba
鲌	wub· 鱼白 ·ba
蚆	cmb· 虫巴 ·ba
胈	vnri· 月𠂇又丶 ·ba
羓	gmb· ⺶巴 ·ba
罷	ykvv· 罒厶⺝匕 ·ba
覇	vtvy· 覀革月 ·ba
紦	imb· 糹巴 ·ba
詙	snri· 言𠂇又丶 ·ba
矲	oykv· 矢罒厶⺝匕 ·ba
豝	jmb· 豕巴 ·ba
癹	hrs· 癶殳 ·ba
跁	pmb· ⻊巴 ·ba
玐	nhb· 王八 ·ba
犮	nrid· 𠂇又丶 ·ba
炦	cnri· 火𠂇又丶 ·ba
軷	ynri· 車𠂇又丶 ·ba
欛	ettv· 木⻗革月 ·ba
釛	zsl· 金力 ·ba
釟	zhb· 金八 ·ba
鈀	zmb· 金巴 ·ba
柭	enri· 木𠂇又丶 ·ba
朳	ehb· 木八 ·ba
弝	bmb· 弓巴 ·ba
峇	vjdk· 山亼口 ·ba
颰	otci· ⺇丿虫𠂇又丶 ·ba
妭	bnri· 女𠂇又丶 ·ba
夿	mmb· 大巴 ·ba
壩	gttv· 土⻗革月 ·ba
墢	ghbr· 土癶弓殳 ·ba
垻	gob· 土貝 ·ba
坺	gnri· 土𠂇又丶 ·ba
鮁	wnri· 魚𠂇又丶 ·ba
鮊	wub· 魚白 ·ba
哵	ddsp· 口口力刂 ·ba
叐	tnry· 丿𠂇又 ·ba
鼥	pnri· 鼠𠂇又丶 ·ba
仈	jhb· 亻八 ·ba
丷	hb· 丷 ·ba
白	ub· 白 ·bai
百	fub· 一白 ·bai
拜	ufaf· 龵一丰 ·bai
摆	uygk· 扌罒土厶 ·bai
败	ohp· 贝攵 ·bai
掰	uhpu· 龵八刀手 ·bai
呗	dob· 口贝 ·bai
佰	jfub· 亻一白 ·bai
柏	eub· 木白 ·bai
稗	xutn· 禾白丿十 ·bai
伯	jub· 亻白 ·bai
捭	uutn· 扌白丿十 ·bai
薭	lxun· 艹禾白丿十 ·bai
襬	tykv· 衤罒厶⺝匕 ·bai
絔	ifub· 糹一白 ·bai
粺	putn· 米白丿十 ·bai
粨	pfub· 米一白 ·bai
竡	ifub· 立一白 ·bai
贁	oohp· 貝貝攵 ·bai
猈	mutn· 犭白丿十 ·bai
栢	efub· 木一白 ·bai
敗	ohp· 貝攵 ·bai
擺	uykv· 扌罒厶⺝匕 ·bai
挀	uxti· 扌⺁ ·bai
拝	ufaf· 扌一丰 ·bai
韛	gltt· 韋龷丿 ·bai
唄	dob· 口貝 ·bai
办	shb· 力八 ·ban
班	npnw· 王王 ·ban
半	hus· 丷 ·ban
版	axry· 片⺁又 ·ban
搬	uirs· 扌舟殳 ·ban
般	irs· 舟殳 ·ban
板	exry· 木⺁又 ·ban
伴	jhus· 亻丷 ·ban
扳	uxry· 扌⺁又 ·ban
坂	gxry· 土⺁又 ·ban
斑	nvnw· 王文王 ·ban
颁	hpwy· 八刀页 ·ban
拌	uhus· 扌丷 ·ban
瓣	nynx· 瓜辛 ·ban
绊	ihus· 纟丷 ·ban
扮	uhpd· 扌八刀 ·ban
阪	txry· 阝⺁又 ·ban
钣	zxry· 钅⺁又 ·ban
舨	ixry· 舟⺁又 ·ban
瘢	airs· 疒舟殳 ·ban
癍	anvn· 疒王文王 ·ban
览	prej· 〢见 ·ban
靽	thus· 革丷 ·ban
蝂	caxr· 虫片⺁又 ·ban
螌	ircc· 舟殳虫 ·ban
肦	vhpd· ⺼八刀 ·ban
褩	irti· 舟殳衣 ·ban
覂	vtri· 覀丿之 ·ban
絆	ihus· 糹丷 ·ban
粄	pxry· 米⺁又 ·ban
籓	rktq· ⺮氵丿米田 ·ban
秚	xhus· 禾丷 ·ban
瓪	rxry· 瓦⺁又 ·ban
跘	phus· ⻊丷 ·ban
湴	khcy· 氵䒑业 ·ban
辦	nsnx· 力辛 ·ban
辬	nvnx· 文辛 ·ban
鈑	zxry· 金⺁又 ·ban
鉡	zhus· 金丷 ·ban
柈	ehus· 木丷 ·ban
朌	vhpd· 月八刀 ·ban
昄	oxry· 日⺁又 ·ban
斒	vmic· 文户 ·ban
攽	hphp· 八刀攵 ·ban
闆	addd· 門口口口 ·ban
怑	hhus· 忄丷 ·ban
頒	hpwy· 八刀頁 ·ban
岅	vxry· 山⺁又 ·ban
姅	bhus· 女丷 ·ban
埿	kcvg· 氵尸匕土 ·ban
坢	ghus· 土丷 ·ban
魬	wxry· 魚⺁又 ·ban
鳻	hpxn· 八刀鳥 ·ban
帮	atrj· 阝巾 ·bang
棒	eaiu· 木㇏ ·bang
榜	eiwl· 木冖方 ·bang
傍	jiwl· 亻冖方 ·bang
绑	iate· 纟阝 ·bang
邦	ate· 阝 ·bang
镑	ziwl· 钅冖方 ·bang
磅	miwl· 石冖方 ·bang
