人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾	jdox
人民日益增长的物质文化需要同落后的社会生产之间的矛盾	jdox2
我们比历史上任何时期都更接近中华民族伟大复兴的目标	tjve2
我国正处于并将长期处于社会主义初级阶段	trfu
毛泽东思想和中国特色社会主义理论体系	vkrt
习近平新时代中国特色社会主义思想	ztee3
尔曹身与名俱灭，不废江河万古流	xfzk
各人自扫门前雪，莫管他家瓦上霜	sjot2
实现中华民族伟大复兴的中国梦	wnde
高举中国特色社会主义伟大旗帜	gkdr
直系血亲和三代以内的旁系血亲	ntti2
最危险的地方就是最安全的地方	oxtl
新时代中国特色社会主义思想	ioje
人生就是一列开往坟墓的列车	jlgy2
中国特色社会主义理论体系	drqt
中国特色社会主义伟大胜利	drqx3
中国特色社会主义伟大旗帜	drqr
国家食品药品监督管理总局	rwqc
建设有中国特色的社会主义	bsni2
以危险方法危害公共安全罪	vxty
实践是检验真理的唯一标准	wpow
只有改革开放才能发展中国	dnvr
请问有什么可以帮到您的吗	sand
没有伞的孩子必须努力奔跑	knjp
我和我的小伙伴们都惊呆了	txtr3
任凭风浪起，稳坐钓鱼船	jjoi
此处不留人，自有留人处	shch
爱之欲其生，恶之欲其死	yrhg
救人一命，胜造七级浮屠	fjfc
留得青山在，不怕没柴烧	bwac
成人不自在，自在不成人	njcj
工欲善其事，必先利其器	uhgd
山上无老虎，猴子称大王	vydn
卧榻之旁，岂容他人鼾睡	qerq
路遥知马力，日久见人心	pyoh
只要功夫深，铁杵磨成针	dvuz
建设有中国特色社会主义	bsni
多种所有制经济共同发展	lxmc2
明鎗容易躲，暗箭最难防	ozwt
留得青山在，依旧有柴烧	bwac2
以小人之心，度君子之腹	vyjv2
任从风浪起，稳坐钓鱼船	jjoi3
只要工夫深，铁杵磨成针	dvuz2
来是是非人，去是是非者	aooq
千人诺诺，不如一士谔谔	ljss
千夫诺诺，不如一士谔谔	lhss
瓜田不纳履，李下不整冠	yqcw
留得青山在，不愁没柴烧	bwac3
明鎗容易躲，暗剑最难防	ozwt2
千羊之皮，不如一狐之腋	lgrv
卧榻之下，岂容他人酣睡	qerq4
救人一命，胜造七级浮图	fjfr
此处不留人，会有留人处	shch2
任凭风浪起，稳坐钓鱼台	jjok
山中无好汉，猢猻称霸王	vddn
路遥知马力，事久见人心	pyoh2
瓜田不纳履，李下不正冠	yqcw2
爱则加诸膝，恶则坠诸渊	yosk
前不见古人，后不见来者	hceq3
前不见古人，後不见来者	hceq4
天下无难事，只怕有心人	ffdj
没有共产党就没有新中国	knlr
只有社会主义才能救中国	dnfr
以其人之道还治其人之身	vzjz
简直不敢相信自己的眼睛	rncq
机会总是留给有准备的人	ejhj
以危险方法危害公共安全	vxtj
全面建设小康社会新胜利	jbbx
压死骆驼的最后一根稻草	xgnl
马克思主义基本原理概论	ncqs2
愿你被这个世界温柔以待	xjtw2
因为我对这土地爱得深沉	ritk
思想道德修养与法律基础	qehm
黔西南布依族苗族自治州	pvno
不要让孩子输在起跑线上	cvsy2
中国证券监督管理委员会	drsj
压垮骆驼的最后一根稻草	xgnl2
嫁出去的女儿泼出去的水	bsgk
父母是孩子的第一任老师	hkop
冰冻三尺，非一日之寒	wwtw
中国特色社会主义制度	drqx2
实现中华民族伟大复兴	wndk2
中国特色社会主义道路	drqp
建设中国特色社会主义	bsdi
社会主义市场经济体制	fjiq2
绿水青山就是金山银山	ikav2
社会主义核心价值体系	fjit
富强民主文明和谐美丽	wbdf2
不知道从什么时候开始	cohb2
请问有什么可以帮到您	sanj
千金之裘，非一狐之腋	lzrv2
人力资源和社会保障部	jswi
可怜之人必有可恨之处	zhrh
有什么可以帮到您的吗	njtd3
有中国特色的社会主义	ndri2
经济基础决定上层建筑	ikzr2
德宏傣族景颇族自治州	wwjo
以胡锦涛同志为总书记	vczs
食品药品监督管理总局	qdlc
国家发展和改革委员会	rwsj2
以小人之心度君子之腹	vyjv3
三十年河东三十年河西	tnev4
人力资源和社会保障局	jswc
恩施土家族苗族自治州	rlgo
人生不如意事十之八九	jlck
救人一命胜造七级浮屠	fjfc2
梦想是注定孤独的旅行	eeop2
科学技术是第一生产力	xkus2
授人以鱼不如授人以渔	ujvk2
三百六十行行行出状元	tfam
国家市场监督管理总局	rwzc
读万卷书不如行万里路	sfhp
高尚是高尚者的墓志铭	gsoz
卑鄙是卑鄙者的通行证	udos
黄鹤楼送孟浩然之广陵	nwet
黔东南苗族侗族自治州	prno2
世间美好与你环环相扣	lagu
愿天下有情人终成眷属	xffc
我们的征途是星辰大海	tjuk
黔南布依族苗族自治州	pnno
长他人志气灭自己威风	pjjo
卫生和计划生育委员会	zlxj
迅雷不及掩耳盗铃之势	atcu2
社会主义核心价值观	fjir
社会主义现代化建设	fjis2
王婆卖瓜，自卖自夸	nknm2
搬起石头砸自己的脚	upmv
丈二和尚摸不着头脑	fmxv
做一天和尚撞一天钟	jffz
善有善报，恶有恶报	gngu2
百尺竿头，更进一步	fcrs2
百足之虫，死而不僵	fprj
远在天边，近在眼前	mnfh
前事不忘，后事之师	hfcp
视而不见，听而不闻	flca3
前无古人，后无来者	hdcq
分久必合，合久必分	hxhh
老鼠过街，人人喊打	qpku
城门失火，殃及池鱼	gatw2
八仙过海，各显神通	hjkk2
一人之下，万人之上	fjry2
嫁鸡随鸡，嫁狗随狗	brtm
失之东隅，收之桑榆	trre2
树高千丈，叶落归根	egle
兼听则明，偏信则暗	hdoo
天下兴亡，匹夫有责	ffka
来者不善，善者不来	aqca
魔高一尺，道高一丈	zgff2
百花齐放，百家争鸣	flqd
翻手为云，覆手为雨	tuit
塞翁失马，焉知非福	whtf
千军易得，一将难求	lwof
人为刀俎，我为鱼肉	jipm
成也萧何，败也萧何	nelj
道高一尺，魔高一丈	hgff
螳螂捕蝉，黄雀在后	ccux
有则改之，无则加勉	novw2
谋事在人，成事在天	sfnf
仇人见面，分外眼红	jjei
君子一言，快马一鞭	bhft
出其不意，攻其不备	szch
福不重至，祸必重来	fcla
言之谆谆，听之藐藐	srsl2
放下屠刀，立地成佛	lfcj
金玉其外，败絮其中	znzd2
饿死事小，失节事大	qgfm
皮之不存，毛将焉附	rrct
百万买宅，千万买邻	ffaj
苦海无边，回头是岸	lkdv
头痛医头，脚痛医脚	wanv2
江山易改，本性难移	kvox
顺我者昌，逆我者亡	otqf
一人得道，鸡犬升天	fjwf
佛是金装，人是衣装	joza
兵来将挡，水来土掩	taau2
兵马未动，粮草先行	tnap
养兵千日，用兵一时	gtlo
衣来伸手，饭来张口	tajd
近朱者赤，近墨者黑	ttqp
明枪易躲，暗箭难防	oeot
仁者见仁，智者见智	jqeo
路见不平，拔刀相助	pecf
天网恢恢，疏而不漏	fmhk2
取之不尽，用之不竭	qrci
鞠躬尽瘁，死而后已	tzcv
万事俱备，只欠东风	ffjo
前人栽树，后人乘凉	hjnw
知无不言，言无不尽	odcc
人不为己，天诛地灭	jcif
落花有意，流水无情	llnh
此而可忍，孰不可忍	slzp
日出而作，日入而息	oslo
战无不胜，攻无不克	ydcc2
眼观六路，耳听八方	qral
只可意会，不可言传	dzxj2
只知其一，不知其二	dozm
项庄舞剑，意在沛公	uxeh
以子之矛，攻子之盾	vhrx
宁为玉碎，不为瓦全	winj
流水不腐，户枢不蠹	kkcn
为中华之崛起而读书	idja
当一天和尚撞一天钟	yffz
家庭联产承包责任制	wxqq
唯女子与小人难养也	dbhe
爱上对方过后就哭了	yyrr2
全心全意为人民服务	jhjh
中共中央政治局常委	dldx2
中华人民共和国主席	djjx
马克思主义基本原理	ncqn
世界上最遥远的距离	lqyz
党的十一届三中全会	sunj
有中国特色社会主义	ndri
不敢相信自己的眼睛	caeq2
半殖民地半封建社会	hgdj
路见不平，拔刀相救	pecf2
山阴道上，应接不暇	vtho2
桃李无言，下自成蹊	eedp
冤各有头，债各有主	wsni
运用之妙，在於一心	btrh
养兵千日，用在一朝	gtln
一人得道，鸡犬飞升	fjwt
智者千虑，必有一失	oqlt2
出其不意，攻其无备	szch2
月晕而风，礎润而雨	volt2
前门去虎，后门进狼	hagm2
白沙在涅，与之俱黑	uknp
宁可玉碎，不能瓦全	wznj
佛高一尺，魔高一丈	jgff
愚者千虑，亦有一得	qqlw
太公钓鱼，愿者上钩	mhzz2
头痛治头，足痛治足	wakp
一人传虚，万人传实	fjjw
眼观四处，耳听八方	qryl
身在林泉，心怀魏阙	znea
千里之隄，溃于蚁穴	ldre
路见不平，拔剑相助	pecf3
千里之行，始於足下	ldrf2
头痛灸头，脚痛灸脚	waxv
八公山上，草木皆兵	hhvt
安于故俗，溺于旧闻	wfca
一子出家，九祖升天	fhsf
水火相济，盐梅相成	kcen
公修公德，婆修婆德	hjhw
福无双至，祸不单行	fdrp
前人种树，後人乘凉	hjxw
身在江湖，心悬魏阙	znka2
月晕知风，礎润知雨	voot2
嬉笑怒骂，皆成文章	brbx2
说一是一，说二是二	sfom
言而无文，行之不远	sldm
宁为鸡口，毋为牛後	wirw
鞠躬尽瘁，死而後已	tzcv2
重足而立，侧目而视	lplf
宁为鸡口，无为牛後	wirw2
靡不有初，鲜克有终	zcni
养军千日，用在一朝	gwln
毫末不札，将寻斧柯	gfce
无根之木，无源之水	derk
韩信将兵，多多益善	njag
百足之蟲，至死不僵	fprj2
教妇初来，教兒婴孩	qbth
鞠躬尽力，死而後已	tzcv3
兵来将迎，水来土堰	taag2
匹夫无罪，怀璧其罪	nhdy
成事不足，败事有馀	nfcq
三分像人，七分像鬼	thja
以己之心，度人之心	vvrh
食不厌精，脍不厌细	qcxi
东向而望，不见西墙	rtlg
重赏之下，必有死夫	lsrh
吐珠於泽，谁能不含	dnlj
只知其一，未知其二	dozm2
说到曹操，曹操就到	syfy
豪末不掇，将成斧柯	gfce2
欲人勿知，莫若勿为	hjni
只此一家，别无分店	dsfx
无天於上，无地於下	dflf
失之毫釐，差之千里	trgd2
项庄舞剑，志在沛公	uxeh3
顺天者昌，逆天者亡	ofqf
窃钩者诛，窃国者侯	ezqj
运用之妙，存乎一心	btrh2
前门去虎，後门进狼	hagm3
成则为王，败则为虏	noiz
成则为王，败则为贼	noio
百足之蟲，至断不蹶	fprp2
江山好改，秉性难移	kvbx
铜山西崩，洛钟东应	zvvx2
仇人相见，分外眼红	jjei2
养兒待老，积穀防饥	gpwq
顺德者昌，逆德者亡	owqf
风高放火，月黑杀人	oglj2
一子悟道，九族生天	fhhf
近硃者赤，近墨者黑	tmqp
鞠躬尽力，死而后已	tzcv4
百不为多，一不为少	fciy2
言之不文，行之不远	srcm
鸷鸟将击，卑飞敛翼	uxaz
差之毫釐，失之千里	grgd
千锤打锣，一锤定音	lzux
差之毫氂，失之千里	grgd2
皮之不存，毛将安傅	rrcj
比上不足，比下有馀	vycq
狮子搏兔，亦用全力	mhus
千里餽粮，士有饥色	ldqx
以己之心，度人之腹	vvrv
机不可失，时不再来	ecza
只见树木，不见森林	deee2
水激则旱，矢激则远	kkom
傍观者审，当局者迷	jrqp2
矢在弦上，不得不发	onbs
鸷鸟累百，不如一鹗	uxqd
百足之蟲，断而不蹶	fprp3
顺我者生，逆我者死	otqg
鹬蚌相持，渔人得利	icex2
攻其一点，不及其馀	uzfq
千金用兵，百金求间	lzta
出其不意，掩其不备	szch3
差之毫釐，谬以千里	grgd3
让礼一寸，得礼一尺	sffc
明枪好躲，暗箭难防	oebt
失之毫釐，差以千里	trgd3
翠纶桂饵，反以失鱼	ziew
江山易改，禀性难移	kvox2
前人种树，后人乘凉	hjxw2
翻手是雨，合手是云	tuob2
失之毫釐，谬以千里	trgd4
卧榻之侧，岂容鼾睡	qerq2
重赏之下，必有勇夫	lsrh2
兵来将敌，水来土堰	taag3
螳螂捕蝉，黄雀在後	ccuw
取法乎上，仅得乎中	qktd
养子防老，积穀防饥	ghtq
养兒代老，积穀防饥	gpjq
前事不忘，後事之师	hfcp2
磨而不磷，涅而不缁	zlci
如人饮水，冷暖自知	bjqo
养兒防老，积穀防饥	gptq2
塞翁失马，安知非福	whtf2
山河易改，本性难移	vkox
百足之蟲，死而不僵	fprj3
中河失舟，一壶千金	dktz
举贤使能，举贤任能	kpjk
